,IDENTIFIER,LATEST ADMISSION DATE,RACE,GENDER,OFFENSE,Year
279,ZZSRSECW,01/19/2018,HISPANIC,M,OTHERS,2018
280,ZZSEEBRS,01/19/2018,HISPANIC,M,OTHERS,2018
281,ZZRECJLW,01/22/2018,BLACK,M,OTHERS,2018
282,ZZSEWRJC,01/22/2018,WHITE,F,OTHERS,2018
283,ZZSRSRZC,01/22/2018,HISPANIC,M,OTHERS,2018
284,ZZRBCJHS,01/22/2018,WHITE,M,VIOLATION OF PROBATION OR COND DISCHG,2018
285,ZZSRSREC,01/22/2018,BLACK,M,OTHERS,2018
286,ZZHRCEEW,01/23/2018,BLACK,M,OTHERS,2018
287,ZZHLJSCL,01/23/2018,WHITE,M,OTHERS,2018
288,ZZSRSZCW,01/12/2018,WHITE,M,OTHERS,2018
289,ZZSRSRSJ,01/23/2018,WHITE,F,OTHERS,2018
290,ZZRCHSEL,01/23/2018,HISPANIC,M,VIOLATION OF PROBATION OR COND DISCHG,2018
291,ZZHBRJHE,01/23/2018,WHITE,M,OTHERS,2018
292,ZZRJSRSH,01/09/2018,HISPANIC,F,"FAILURE TO APPEAR, SECOND DEGREE      AM",2018
293,ZZSELRSB,01/23/2018,HISPANIC,M,OTHERS,2018
294,ZZRECESL,01/23/2018,HISPANIC,M,OTHERS,2018
295,ZZHJCWEW,01/23/2018,WHITE,M,OTHERS,2018
296,ZZSEBEHE,01/23/2018,BLACK,M,OTHERS,2018
297,ZZHLHBEL,01/23/2018,WHITE,F,OTHERS,2018
298,ZZSRSRSB,01/23/2018,WHITE,M,OTHERS,2018
299,ZZRCSLBW,01/08/2018,WHITE,M,OTHERS,2018
300,ZZSEBWHJ,01/23/2018,HISPANIC,M,VIOLATION OF PROBATION OR COND DISCHG,2018
301,ZZSRSRSL,01/23/2018,HISPANIC,M,OTHERS,2018
302,ZZHRLZBB,01/23/2018,WHITE,M,OTHERS,2018
303,ZZSRSRHL,01/23/2018,WHITE,M,OTHERS,2018
